M/Y,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,Aver  M/S
1,5.10,4.60,6.70,6.17,5.70,5.10,3.60,4.63,5.10,5.70,4.10,4.10,
2,7.20,7.20,5.10,6.70,6.20,5.10,6.17,6.69,30.90,5.10,5.70,11.80,
3,6.70,7.20,5.70,6.20,6.20,5.70,5.14,6.17,6.20,4.60,5.70,20.60,
4,6.20,8.20,5.70,6.17,42.70,6.20,11.83,6.69,7.20,6.20,9.30,6.20,
5,10.30,7.20,6.70,20.58,8.75,5.70,8.23,8.23,4.10,6.20,6.20,4.10,
6,7.20,7.70,7.20,6.70,6.69,9.80,29.32,7.20,11.83,6.20,5.10,6.20,
7,6.20,6.70,5.70,8.80,8.23,7.70,6.69,5.66,6.69,5.70,5.70,5.10,
8,6.20,5.70,6.20,6.20,6.69,7.70,6.69,5.14,7.72,4.60,5.10,4.60,
9,5.10,5.10,5.70,6.70,5.14,5.70,5.14,6.17,6.17,5.10,3.60,3.60,
10,0.00,5.70,5.10,5.70,4.63,4.10,5.14,6.20,4.12,5.70,5.70,5.10,
11,0.00,6.70,4.60,4.60,4.12,7.20,5.14,4.12,6.17,4.60,3.60,4.60,
12,0.00,4.10,4.60,4.60,4.63,5.10,4.12,5.14,4.63,4.60,4.10,4.60,
Average,,,,,,,,,,,,,
